Date,Close,High,Low,Open,Volume
2007-01-03,20.661725997924805,20.812827304831917,20.505028394983835,20.684111182060235,9365079
2007-01-04,20.594573974609375,20.661729538523456,20.505031908730746,20.650536944537777,6646292
2007-01-05,20.432270050048828,20.583371318630164,20.39309598774805,20.53860096171499,7977372
2007-01-08,20.521814346313477,20.538603232012477,20.30355620424092,20.4378686038257,4427415
2007-01-09,20.48824119567871,20.600167125581642,20.376313951782706,20.52181897464959,5997309
2007-01-10,20.55539321899414,20.572182105592628,20.38190674348359,20.38750303901642,3614216
2007-01-11,20.684112548828125,20.684112548828125,20.544203824743818,20.560992713954768,4623513
2007-01-12,20.706501007080078,20.72888619623263,20.60576765589359,20.60576765589359,8028582
2007-01-16,20.762468338012695,20.762468338012695,20.67852255238978,20.706504042932934,5315827
2007-01-17,20.706501007080078,20.79604307768355,20.661730628774972,20.734483807514028,4927693
2007-01-18,20.6225528717041,20.762461592961518,20.611358965129924,20.745672704089788,5029004
2007-01-19,20.684112548828125,20.700901438039075,20.60576439917702,20.65053477040622,4202880
2007-01-22,20.667316436767578,20.7288756756939,20.61135217829651,20.70649049790251,5728582
2007-01-23,20.656124114990234,20.695298176631756,20.566582088674153,20.600159855795457,7704706
2007-01-24,20.868789672851562,20.868789672851562,20.628147636232875,20.650532819732945,5148904
2007-01-25,20.56659698486328,20.885589945537024,20.53861549199547,20.8743973483899,15347739
2007-01-26,20.60576629638672,20.66172926557583,20.45466365158977,20.57778349779899,9816486
2007-01-29,20.505035400390625,20.633751567137317,20.477053910661652,20.594577481516755,13643419
2007-01-30,20.583383560180664,20.616962661830165,20.493842793097762,20.516227984868486,7687718
2007-01-31,20.751264572143555,20.80163122801069,20.52181384520777,20.583373091267603,15289143
2007-02-01,20.885581970214844,20.896774563087988,20.79044361680004,20.80723250610976,18404066
2007-02-02,20.924753189086914,20.95273466745037,20.86878891836713,20.89117541505077,7704460
2007-02-05,20.919158935546875,20.95833300907989,20.835213178268834,20.941544120422886,5309672
2007-02-06,21.014299392700195,21.03108828304089,20.913564736662885,20.941546220564042,9894778
2007-02-07,21.092634201049805,21.126211960484532,21.0142860957021,21.031074975419465,5616561
2007-02-08,21.025480270385742,21.047865445033143,20.913553083156337,21.036671543717034,6929176
2007-02-09,20.801633834838867,21.098240140101073,20.678514013297267,20.991910519945385,21979751
2007-02-12,20.751264572143555,20.85759417897418,20.695300307187324,20.835208998588783,11936268
2007-02-13,20.90237045288086,20.947140823502462,20.762461730695318,20.779250619678418,12937195
2007-02-14,21.103839874267578,21.15980415535521,20.930353362281465,20.94154595570037,12212751
2007-02-15,21.13741683959961,21.170995932554842,21.070261281675286,21.12622424661222,12006928
2007-02-16,21.131826400756836,21.137421384460463,21.047880621308767,21.075862109793672,6764837
2007-02-20,21.243749618530273,21.260539823452017,20.633747992153314,21.098244583156266,6508666
