,S
2005-07-12,0.8431747565332629
2005-07-13,0.817377167983057
2005-07-14,0.8303391589866865
2005-07-15,0.8290554805661805
2005-07-18,0.8340164353351656
2005-07-19,0.856926915231955
2005-07-20,0.8349260846924125
2005-07-21,0.8249956366033189
2005-07-22,0.834290961795264
2005-07-25,0.8243664071682738
2005-07-26,0.8316940805294986
2005-07-27,0.8125114649087941
2005-07-28,0.8026958680586405
2005-07-29,0.7823863479138429
2005-08-01,0.772090363863329
2005-08-02,0.770374515178573
2005-08-03,0.7691199159498588
2005-08-04,0.7682907713597665
2005-08-05,0.7785117423482796
2005-08-08,0.8044040022640653
2005-08-09,0.8133695259420234
2005-08-10,0.8004568383834576
2005-08-11,0.8206351944714811
2005-08-12,0.8016045756865732
2005-08-15,0.8095247595369869
2005-08-16,0.8069564711588679
2005-08-17,0.811424305227695
2005-08-18,0.7969849876752572
2005-08-19,0.7858759154586437
2005-08-22,0.7794972661523295
2005-08-23,0.7916824171926494
2005-08-24,0.7913781384103674
2005-08-25,0.7715162654633857
2005-08-26,0.7842842072091867
2005-08-29,0.7729517841638625
2005-08-30,0.8102585620547339
2005-08-31,0.825358893820165
2005-09-01,0.8319017933898359
2005-09-02,0.813281289015624
2005-09-05,0.8053576456560809
2005-09-06,0.8007013075110179
2005-09-07,0.7906891932358879
2005-09-08,0.793964905079061
2005-09-09,0.794428271127635
2005-09-12,0.7917427517060062
2005-09-13,0.8141097922642975
2005-09-14,0.8062036670320264
2005-09-15,0.8031099399773808
2005-09-16,0.8051785299615971
2005-09-19,0.8063306783765283
2005-09-20,0.8061968896989945
2005-09-21,0.8198738512912289
2005-09-22,0.8171278781536464
2005-09-23,0.8104508227739515
2005-09-26,0.8210929951324929
2005-09-27,0.8529771664881189
2005-09-28,0.8391182733431313
2005-09-29,0.8637135874832117
2005-09-30,0.9260958628849614
2005-10-03,0.9184601606509596
2005-10-04,0.9008358725299335
2005-10-05,0.9303984514538407
2005-10-06,0.9257434778448822
2005-10-07,0.9951517079452964
2005-10-10,0.9994337593013748
2005-10-11,0.9994337593013745
2005-10-12,1.0165097145852393
2005-10-13,1.006837521602835
2005-10-14,1.0054941669533715
2005-10-17,1.0001852030065692
2005-10-18,0.992352096664292
2005-10-19,0.9649247522169931
2005-10-20,0.9767421977044203
2005-10-21,0.9947923373907985
2005-10-24,1.0138391402049418
2005-10-25,1.0331176593533866
2005-10-26,1.0444042354409582
2005-10-27,1.0442786614132291
2005-10-28,1.0428745396044066
2005-10-31,1.0223448212621604
2005-11-01,1.014014192108484
2005-11-02,1.0381643913148915
2005-11-03,1.00667114302925
2005-11-04,0.9922337912088636
2005-11-07,1.0159227106110507
2005-11-08,1.005770794074649
2005-11-09,0.9936788854197776
2005-11-10,0.9907694029430215
2005-11-11,0.988462057011637
2005-11-14,0.9895685426572762
2005-11-15,0.9860823873794612
2005-11-16,0.9707179869971929
2005-11-17,0.9562447859142702
2005-11-18,0.963155896302722
2005-11-21,0.9674716695101577
2005-11-22,0.9493328514292406
2005-11-23,0.9499822514201477
2005-11-24,0.966865192108509
2005-11-25,0.9579615422093352
2005-11-28,0.9403171866066407
2005-11-29,0.9505941393413772
2005-11-30,0.9607512719050126
2005-12-01,0.9562492133394743
2005-12-02,0.9515427780126745
2005-12-05,0.9420591902742661
2005-12-06,0.9280208937189871
2005-12-07,0.9465341048692804
2005-12-08,0.9444577315072735
2005-12-09,0.9436690295908011
