Date,7203.T,7267.T,7201.T,7261.T,7269.T,6758.T,6861.T,6902.T,6501.T,6752.T,6702.T,6503.T,6762.T,6971.T,8316.T,8411.T,8766.T,8801.T,9432.T,9433.T,9983.T,2914.T,4452.T,4911.T,7751.T,4502.T,4503.T,4519.T,4568.T,6301.T,6326.T,7011.T,7012.T,4063.T,5401.T,3407.T,9020.T,9022.T,9984.T
2005-01-03,490.9578857421875,494.5614318847656,669.7813720703125,1114.478271484375,362.1804504394531,671.3963012695312,3327.481689453125,443.3016357421875,502.0939025878906,1119.8868408203125,504.4861145019531,344.8003845214844,354.22991943359375,663.4061889648438,1220.333251953125,2393.8408203125,-0.48486608266830444,307.11126708984375,25.1299991607666,261.8210144042969,2051.748779296875,544.5007934570312,1688.227294921875,1062.497314453125,1755.461669921875,2327.916748046875,445.8878479003906,381.9801940917969,458.0321044921875,413.6263427734375,339.0486755371094,193.6622314453125,1177.5245361328125,581.0224609375,241.69125366210938,298.6044921875,1374.433837890625,1392.74365234375,185.1154327392578
2005-01-04,494.4898681640625,493.6302185058594,667.9774169921875,1121.400634765625,361.4065246582031,676.4827270507812,3297.047607421875,445.7239990234375,506.33685302734375,1121.9530029296875,507.5115966796875,348.2345886230469,355.6300354003906,669.2919921875,1210.5045166015625,2389.201904296875,-0.4944358170032501,310.564697265625,25.1299991607666,260.3981018066406,2085.94482421875,525.8855590820312,1701.1141357421875,1061.065673828125,1764.984619140625,2327.916748046875,440.3004455566406,385.58795166015625,465.2695617675781,423.433349609375,343.05322265625,196.98976135253906,1184.533447265625,586.5560302734375,243.61703491210938,298.6044921875,1386.4901123046875,1402.7276611328125,185.85736083984375
2005-01-05,488.60308837890625,494.5614318847656,670.3826293945312,1135.2449951171875,359.08489990234375,676.4827270507812,3282.5546875,441.686767578125,505.6298522949219,1112.31103515625,498.4353942871094,346.8609313964844,354.69659423828125,672.6552124023438,1195.7628173828125,2356.726806640625,-0.48486608266830444,304.6444396972656,25.020732879638672,262.29534912109375,2043.857177734375,511.92401123046875,1688.227294921875,1043.1661376953125,1758.63525390625,2305.359619140625,438.0654602050781,383.7839660644531,458.0321044921875,422.2796325683594,341.0509948730469,197.65524291992188,1177.5245361328125,583.7891235351562,241.69125366210938,296.8582458496094,1381.6673583984375,1397.73583984375,183.6315155029297
2005-01-06,493.3126220703125,500.1496887207031,671.5850219726562,1138.7059326171875,360.43927001953125,671.3963012695312,3253.56982421875,440.87933349609375,502.0939025878906,1104.0458984375,495.40985107421875,342.7398376464844,352.363037109375,670.9736938476562,1208.8670654296875,2370.644287109375,-0.48486608266830444,309.0845947265625,24.692947387695312,268.46142578125,1996.50927734375,507.26995849609375,1697.892333984375,1047.462158203125,1752.2867431640625,2305.359619140625,443.6529541015625,382.4309997558594,458.0321044921875,425.1639709472656,351.0622253417969,200.3172607421875,1198.5521240234375,578.2556762695312,246.50572204589844,300.3507080078125,1405.7801513671875,1399.3997802734375,184.37351989746094
2005-01-07,488.60308837890625,501.08111572265625,682.4073486328125,1145.628662109375,359.08489990234375,681.569091796875,3276.7578125,437.6495056152344,492.900390625,1095.78076171875,494.6534423828125,340.67913818359375,343.9622802734375,670.1327514648438,1192.486572265625,2328.891357421875,-0.48167628049850464,306.12451171875,24.747581481933594,266.5642395019531,1980.7264404296875,516.5776977539062,1678.561767578125,1045.314208984375,1755.461669921875,2278.290283203125,432.4779357910156,373.63702392578125,456.99810791015625,423.433349609375,354.39935302734375,200.98272705078125,1198.5521240234375,578.2556762695312,246.50572204589844,300.3507080078125,1408.19140625,1391.080078125,182.8896026611328
2005-01-10,488.60308837890625,501.08111572265625,682.4073486328125,1145.628662109375,359.08489990234375,681.569091796875,3276.7578125,437.6495056152344,492.900390625,1095.78076171875,494.6534423828125,340.67913818359375,343.9622802734375,670.1327514648438,1192.486572265625,2328.891357421875,-0.48167628049850464,306.12451171875,24.747581481933594,266.5642395019531,1980.7264404296875,516.5776977539062,1678.561767578125,1045.314208984375,1755.461669921875,2278.290283203125,432.4779357910156,373.63702392578125,456.99810791015625,423.433349609375,354.39935302734375,200.98272705078125,1198.5521240234375,578.2556762695312,246.50572204589844,300.3507080078125,1408.19140625,1391.080078125,182.8896026611328
2005-01-11,494.4898681640625,502.9438781738281,693.229736328125,1149.089599609375,359.08489990234375,688.3507690429688,3324.583251953125,445.7239990234375,504.21539306640625,1116.4432373046875,502.9732360839844,353.0425109863281,346.7625732421875,674.3368530273438,1210.5045166015625,2366.00537109375,-0.48486608266830444,310.3180847167969,24.583688735961914,267.9871826171875,1980.7264404296875,516.5776977539062,1717.22314453125,1054.62158203125,1758.63525390625,2273.779541015625,433.5953674316406,370.70556640625,465.2695617675781,430.35595703125,357.069091796875,200.3172607421875,1198.5521240234375,575.4888916015625,249.39447021484375,305.00738525390625,1408.19140625,1391.080078125,186.22836303710938
2005-01-12,488.60308837890625,502.012451171875,688.419677734375,1156.0115966796875,357.3435974121094,683.2644653320312,3333.27880859375,440.87933349609375,500.6794738769531,1099.91357421875,492.3843688964844,344.8003845214844,343.49566650390625,663.4061889648438,1194.1246337890625,2314.97412109375,-0.47848621010780334,304.397705078125,24.41979217529297,264.6669616699219,1980.7264404296875,497.9622802734375,1691.44921875,1038.8704833984375,1720.542236328125,2255.733154296875,426.89031982421875,367.3232116699219,463.2017517089844,426.3178405761719,356.4015808105469,198.98626708984375,1184.533447265625,575.4888916015625,246.50572204589844,305.00738525390625,1403.3687744140625,1376.104248046875,184.00253295898438
2005-01-13,485.071044921875,499.21856689453125,677.5974731445312,1152.550537109375,353.6676330566406,681.569091796875,3333.27880859375,438.4568786621094,495.7292175292969,1095.78076171875,487.84613037109375,345.4871826171875,341.6287841796875,657.5203857421875,1190.8486328125,2259.302978515625,-0.47848621010780334,303.6578063964844,24.037391662597656,263.7183532714844,1943.9000244140625,479.3468322753906,1678.561767578125,1026.6988525390625,1688.7978515625,2237.6875,422.42022705078125,365.2939147949219,456.99810791015625,423.433349609375,353.06451416015625,198.98626708984375,1170.5155029296875,567.1884765625,243.61703491210938,303.2610778808594,1384.0784912109375,1372.7763671875,182.8896026611328
2005-01-14,488.60308837890625,504.8067321777344,682.4073486328125,1135.2449951171875,348.25042724609375,683.2644653320312,3457.914306640625,444.10919189453125,497.1434631347656,1090.959716796875,483.308349609375,343.42657470703125,340.22869873046875,662.5653686523438,1199.0386962890625,2291.77734375,-0.47848621010780334,310.0713806152344,24.037391662597656,267.9871826171875,1909.70458984375,493.3085632324219,1668.8966064453125,1033.8585205078125,1723.7171630859375,2215.129638671875,421.30255126953125,362.5880126953125,463.2017517089844,429.2021484375,357.73638916015625,201.64833068847656,1184.533447265625,575.4888916015625,240.72825622558594,296.2762756347656,1369.61083984375,1379.4322509765625,182.5186004638672
