Date,ALV.DE,DBK.DE,BMW.DE,VOW3.DE,BAS.DE,BAYN.DE,SAP.DE,SIE.DE,IFX.DE,DTE.DE,ADS.DE,HEN3.DE,BEI.DE,CON.DE,EOAN.DE,FRE.DE,MRK.DE,LIN.DE,HEI.DE,FME.DE
2005-01-03 00:00:00+01:00,39.08533477783203,30.632362365722656,15.662535667419434,10.468250274658203,10.290376663208008,14.040279388427734,22.780344009399414,27.72171401977539,5.9771409034729,5.884889602661133,23.480194091796875,14.458953857421875,21.54908561706543,26.694904327392578,6.975234031677246,5.88408899307251,18.830326080322266,22.37839126586914,27.669198989868164,13.965593338012695
2005-01-04 00:00:00+01:00,39.2498779296875,30.497268676757812,15.973466873168945,10.785727500915527,10.25373363494873,13.838903427124023,22.333669662475586,27.567577362060547,5.874088287353516,5.930674076080322,23.35980224609375,14.526328086853027,21.93048858642578,27.08664894104004,6.931632041931152,5.942478656768799,18.5316104888916,22.37839126586914,28.134443283081055,13.820818901062012
2005-01-05 00:00:00+01:00,38.70005416870117,30.101320266723633,16.029155731201172,10.785727500915527,10.1592378616333,13.486496925354004,22.19516372680664,27.16683006286621,5.815200328826904,5.881368160247803,23.068531036376953,14.533069610595703,21.927978515625,26.778846740722656,6.939938068389893,6.095848560333252,18.114877700805664,22.37839126586914,28.360767364501953,13.70640754699707
2005-01-06 00:00:00+01:00,39.089351654052734,31.0609130859375,16.108049392700195,11.048174858093262,10.155381202697754,13.492088317871094,22.627986907958984,27.422252655029297,5.829921722412109,5.884889602661133,23.175334930419922,14.8295259475708,21.887832641601562,27.058671951293945,6.9741950035095215,6.150343418121338,18.16282081604004,22.37839126586914,28.53052520751953,13.56631088256836
2005-01-07 00:00:00+01:00,39.1214599609375,31.242591857910156,16.057003021240234,11.259822845458984,10.199737548828125,13.45293140411377,23.085050582885742,27.56317710876465,5.852004051208496,5.909543037414551,23.039403915405273,15.045125007629395,21.882814407348633,27.002704620361328,7.0292158126831055,6.126987934112549,18.074316024780273,22.37839126586914,28.920324325561523,13.56631088256836
2005-01-10 00:00:00+01:00,39.03717803955078,31.228609085083008,16.01059341430664,11.412210464477539,10.12838363647461,13.497684478759766,23.02618408203125,27.53675651550293,5.859365940093994,5.8109331130981445,23.04522705078125,14.977752685546875,21.679563522338867,27.09225082397461,6.99288272857666,6.073271751403809,18.10381317138672,22.37839126586914,29.435861587524414,13.57797908782959
2005-01-11 00:00:00+01:00,38.36695861816406,30.865270614624023,15.834243774414062,11.183629035949707,9.995320320129395,13.369024276733398,22.0739803314209,27.250511169433594,5.675340175628662,5.726409912109375,22.818042755126953,14.910371780395508,21.965618133544922,27.17619514465332,6.946166515350342,6.071714878082275,18.037431716918945,22.37839126586914,29.435861587524414,13.430876731872559
2005-01-12 00:00:00+01:00,37.877342224121094,30.32491111755371,15.708942413330078,11.01430892944336,9.900822639465332,13.150869369506836,21.61517906188965,27.03912925720215,5.50603723526001,5.6524529457092285,22.50541114807129,14.863210678100586,21.413591384887695,27.461612701416016,6.882839679718018,6.072492599487305,17.996870040893555,22.37839126586914,29.190664291381836,13.5359468460083
2005-01-13 00:00:00+01:00,38.13017654418945,30.32491111755371,15.509394645690918,11.022775650024414,9.976034164428711,13.195621490478516,21.79523468017578,26.89820671081543,5.5575642585754395,5.701757431030273,22.381134033203125,14.957538604736328,21.77993392944336,27.254541397094727,6.833010673522949,6.150343418121338,17.867786407470703,22.37839126586914,29.857093811035156,13.461231231689453
2005-01-14 00:00:00+01:00,38.18234634399414,31.492412567138672,15.699662208557129,11.12013053894043,10.0396728515625,13.318685531616211,21.745027542114258,26.86297607421875,5.5722856521606445,5.67006254196167,22.29958152770996,14.903642654418945,21.94805145263672,27.702251434326172,6.874533653259277,6.150343418121338,18.041122436523438,22.37839126586914,31.12078285217285,13.421538352966309
2005-01-17 00:00:00+01:00,38.35893630981445,31.6622314453125,15.625411033630371,11.073567390441895,10.076313018798828,13.648716926574707,21.745027542114258,27.118396759033203,5.520759105682373,5.655974864959717,22.557838439941406,14.782361030578613,22.043397903442383,27.724637985229492,6.873497009277344,6.149566173553467,18.856142044067383,22.37839126586914,30.94474983215332,13.395849227905273
2005-01-18 00:00:00+01:00,38.00576400756836,31.643362045288086,15.46762466430664,11.217494010925293,10.107171058654785,13.721435546875,21.682703018188477,27.294544219970703,5.425066947937012,5.659495830535889,22.660757064819336,14.89016342163086,21.90288734436035,28.105194091796875,6.869343280792236,6.134775638580322,19.36507225036621,22.37839126586914,31.04533576965332,13.514931678771973
2005-01-19 00:00:00+01:00,37.28337097167969,31.33674430847168,15.305198669433594,11.314852714538574,10.211309432983398,13.682276725769043,21.48014259338379,27.281333923339844,5.4324259757995605,5.715844631195068,22.69959259033203,14.7621488571167,21.77742576599121,28.541717529296875,6.9191741943359375,6.169809341430664,19.081104278564453,22.37839126586914,30.52351188659668,13.49392032623291
2005-01-20 00:00:00+01:00,36.91013717651367,30.926345825195312,15.212381362915039,11.310619354248047,10.13995361328125,13.654308319091797,21.18755531311035,27.118396759033203,5.329372882843018,5.715844631195068,22.594736099243164,14.688034057617188,21.493885040283203,28.6760311126709,6.894258499145508,6.189271450042725,18.878271102905273,22.37839126586914,30.963607788085938,13.601334571838379
