Date,Open,High,Low,Close,Volume,Turnover,Turnover_MA20
2005-02-25,92.7949,93.8716,92.7097,93.6948,79289004,0.08809889333333333,
2005-02-28,93.4735,93.5952,92.6083,93.0544,89985785,0.09998420555555555,
2005-03-01,93.1845,93.7683,93.1845,93.5386,61658442,0.06850938,
2005-03-02,93.1749,94.0766,93.0735,93.4927,83253671,0.09250407888888888,
2005-03-03,93.8716,94.0575,93.1203,93.5301,80491538,0.08943504222222222,
2005-03-04,94.1512,94.7819,93.9675,94.7073,72809892,0.08089988,
2005-03-07,94.6499,95.0882,94.4327,94.7456,56781312,0.06309034666666667,
2005-03-08,94.6594,94.8872,94.1991,94.3665,57895709,0.06432856555555555,
2005-03-09,94.1043,94.3378,93.3148,93.3232,95400795,0.10600088333333334,
2005-03-10,93.3329,93.7494,92.8868,93.5386,84641541,0.09404615666666667,
2005-03-11,93.778,93.9102,92.6907,92.8868,75346247,0.08371805222222223,
2005-03-14,92.8868,93.4833,92.8037,93.464,47099391,0.052332656666666665,
2005-03-15,93.6811,93.7226,92.6438,92.6812,80992092,0.08999121333333333,
2005-03-16,92.3499,92.5002,91.7421,91.9098,99446724,0.11049636,
2005-03-17,92.0648,92.3777,91.7987,92.101,81318454,0.09035383777777778,
2005-03-18,91.8905,92.2321,91.1564,91.4504,80209634,0.08912181555555555,
2005-03-21,91.5871,91.6435,90.8453,91.1221,79620680,0.08846742222222222,
2005-03-22,91.3241,91.7519,90.2002,90.2002,120971319,0.13441257666666667,
2005-03-23,90.2195,90.8283,90.0836,90.274,93252232,0.10361359111111111,
2005-03-24,90.6289,91.0283,90.32,90.3851,67424176,0.07491575111111111,0.08821603544444444
2005-03-28,90.5909,90.991,90.5114,90.5114,60842798,0.06760310888888889,0.08719124622222221
2005-03-29,90.3851,90.9535,89.6961,89.9035,94676790,0.10519643333333334,0.08745185761111111
2005-03-30,90.2002,91.2022,90.0931,91.1841,81522073,0.09058008111111111,0.08855539266666666
2005-03-31,91.1938,91.3956,90.9258,91.0088,84310645,0.09367849444444444,0.08861411344444445
2005-04-01,91.5135,91.8072,90.2002,90.6001,126236623,0.14026291444444444,0.09115550705555556
2005-04-04,90.5564,90.9172,90.0739,90.7544,92814412,0.10312712444444444,0.09226686927777779
2005-04-05,90.854,91.3335,90.7897,91.1938,64910508,0.07212278666666666,0.09271849127777777
2005-04-06,91.3956,91.7708,91.1841,91.497,69097710,0.07677523333333333,0.09334082466666667
2005-04-07,91.3613,92.0177,91.277,92.0007,61209472,0.06801052444444444,0.09144130672222221
2005-04-08,91.9471,91.9843,91.0378,91.0378,83334418,0.09259379777777778,0.09136868877777778
2005-04-11,91.2597,91.3698,90.8979,91.1221,59436913,0.06604101444444445,0.09048483688888889
