Date,V,V_raw,Volume,Price,TED,BAA,VIX,Phi_TED,Phi_BAA,Phi_VIX
2014-05-22,0.12529659061111112,0.08286224222222222,74576018,156.448,0.2,2.25,12.03,5.0,0.4444444444444444,8.31255195344971
2014-05-23,0.12258926644444446,0.08097881222222222,72880931,157.071,0.19,2.24,11.36,5.2631578947368425,0.4464285714285714,8.802816901408452
2014-05-27,0.11834162144444445,0.09692445333333333,87232008,158.036,0.19,2.23,11.51,5.2631578947368425,0.4484304932735426,8.688097306689835
2014-05-28,0.11717300516666666,0.08983291888888889,80849627,157.923,0.19,2.23,11.68,5.2631578947368425,0.4484304932735426,8.561643835616438
2014-05-29,0.11467148594444446,0.08663166777777778,77968501,158.726,0.19,2.24,11.57,5.2631578947368425,0.4464285714285714,8.64304235090752
2014-05-30,0.11354646711111112,0.10272980444444445,92456824,158.974,0.19,2.22,11.4,5.2631578947368425,0.4504504504504504,8.771929824561402
2014-06-02,0.11129224888888889,0.0870187,78316830,159.156,0.19,2.22,11.58,5.2631578947368425,0.4504504504504504,8.635578583765112
2014-06-03,0.11056454066666668,0.08757047444444445,78813427,159.08,0.19,2.22,11.87,5.2631578947368425,0.4504504504504504,8.424599831508004
2014-06-04,0.108549529,0.0747376311111111,67263868,159.395,0.19,2.23,12.08,5.2631578947368425,0.4484304932735426,8.278145695364238
2014-06-05,0.1075810606111111,0.12398171888888888,111583547,160.44,0.19,2.24,11.68,5.2631578947368425,0.4464285714285714,8.561643835616438
2014-06-06,0.10657837205555556,0.10594334555555555,95349011,161.205,0.19,2.23,10.73,5.2631578947368425,0.4484304932735426,9.319664492078285
2014-06-09,0.10532217349999999,0.08753419,78780771,161.366,0.19,2.22,11.15,5.2631578947368425,0.4504504504504504,8.968609865470851
2014-06-10,0.10331681322222223,0.07692463777777778,69232174,161.385,0.19,2.21,10.99,5.2631578947368425,0.45248868778280543,9.099181073703367
2014-06-11,0.10347318999999999,0.09258463111111111,83326168,160.811,0.19,2.2,11.6,5.2631578947368425,0.45454545454545453,8.620689655172415
2014-06-12,0.1057568305,0.1430013911111111,128701252,159.712,0.19,2.21,12.56,5.2631578947368425,0.45248868778280543,7.961783439490445
2014-06-13,0.10084583249999998,0.11042416111111111,99381745,160.21,0.19,2.19,12.18,5.2631578947368425,0.4566210045662101,8.210180623973727
2014-06-16,0.1001702191111111,0.11768105,105912945,160.315,0.19,2.17,12.65,5.2631578947368425,0.4608294930875576,7.905138339920948
2014-06-17,0.10158585344444444,0.11419551888888889,102775967,160.747,0.19,2.17,12.06,5.2631578947368425,0.4608294930875576,8.291873963515755
2014-06-18,0.10115569922222223,0.14164689444444445,127482205,161.931,0.2,2.19,10.61,5.0,0.4566210045662101,9.42507068803016
2014-06-19,0.10094435161111111,0.11568278888888889,104114510,162.143,0.21,2.19,10.62,4.761904761904762,0.4566210045662101,9.416195856873824
2014-06-20,0.1034928973888889,0.13383315777777777,120449842,162.468,0.21,2.2,10.85,4.761904761904762,0.45454545454545453,9.216589861751153
2014-06-23,0.10417204794444443,0.09456182333333334,85105641,162.422,0.2,2.19,10.98,5.0,0.4566210045662101,9.107468123861565
2014-06-24,0.10577216805555556,0.12892685555555555,116034170,161.414,0.2,2.18,12.13,5.0,0.4587155963302752,8.244023083264633
2014-06-25,0.10682508688888889,0.11089129555555556,99802166,162.172,0.2,2.18,11.59,5.0,0.4587155963302752,8.628127696289905
2014-06-26,0.10814153583333333,0.11296064666666666,101664582,162.048,0.19,2.18,11.63,5.2631578947368425,0.4587155963302752,8.598452278589853
2014-06-27,0.10779244849999998,0.09574805777777778,86173252,162.372,0.2,2.2,11.26,5.0,0.45454545454545453,8.880994671403197
2014-06-30,0.10816445594444443,0.09445884888888889,85012964,162.286,0.19,2.18,11.57,5.2631578947368425,0.4587155963302752,8.64304235090752
2014-07-01,0.10984332838888888,0.12114792333333334,109033131,163.339,0.21,2.19,11.15,4.761904761904762,0.4566210045662101,8.968609865470851
2014-07-02,0.10962263966666666,0.07032385666666667,63291471,163.529,0.21,2.2,10.82,4.761904761904762,0.45454545454545453,9.242144177449168
2014-07-03,0.10697084000000001,0.07094572555555556,63851153,164.346,0.22,2.21,10.32,4.545454545454546,0.45248868778280543,9.689922480620154
2014-07-07,0.10580684511111112,0.08266344777777777,74397103,163.752,0.19,2.18,11.33,5.2631578947368425,0.4587155963302752,8.8261253309797
2014-07-08,0.1086751553888889,0.14490039555555556,130410356,162.708,0.2,2.18,11.98,5.0,0.4587155963302752,8.347245409015025
2014-07-09,0.10971923316666665,0.09780619333333333,88025574,163.426,0.2,2.17,11.65,5.0,0.4608294930875576,8.583690987124463
2014-07-10,0.11172537355555556,0.1327074388888889,119436695,162.775,0.21,2.2,12.59,4.761904761904762,0.45454545454545453,7.942811755361398
2014-07-11,0.10887945605555556,0.0860830411111111,77474737,163.014,0.21,2.2,12.08,4.761904761904762,0.45454545454545453,8.278145695364238
2014-07-14,0.1072842476111111,0.07851999222222222,70667993,163.835,0.2,2.21,11.82,5.0,0.45248868778280543,8.460236886632826
2014-07-15,0.10886052188888891,0.14920653555555555,134285882,163.529,0.21,2.2,11.96,4.761904761904762,0.45454545454545453,8.361204013377925
2014-07-16,0.10851370394444446,0.10725916,96533244,164.152,0.21,2.19,11.0,4.761904761904762,0.4566210045662101,9.090909090909092
2014-07-17,0.11115594711111113,0.19449175777777777,175042582,162.277,0.21,2.22,14.54,4.761904761904762,0.4504504504504504,6.87757909215956
