observation_date,V,TED,BAA,VIX,Phi_TED,Phi_BAA,Phi_VIX
1991-10-31,1.861,0.43,2.02,15.48,2.3255813953488373,0.49504950495049505,6.459948320413437
1991-11-30,1.861,0.65,2.06,20.26,1.5384615384615383,0.4854368932038835,4.935834155972359
1991-12-31,1.861,0.37,2.39,19.31,2.7027027027027026,0.41841004184100417,5.178663904712584
1992-01-31,1.874,0.35,1.9,17.4,2.857142857142857,0.5263157894736842,5.74712643678161
1992-02-29,1.874,0.32,1.9,16.68,3.125,0.5263157894736842,5.995203836930456
1992-03-31,1.874,0.32,1.7,16.18,3.125,0.5882352941176471,6.180469715698393
1992-04-30,1.905,0.36,1.63,15.53,2.7777777777777777,0.6134969325153374,6.439150032195751
1992-05-31,1.905,0.36,1.77,13.86,2.7777777777777777,0.5649717514124294,7.2150072150072155
1992-06-30,1.905,0.37,1.86,13.35,2.7027027027027026,0.5376344086021505,7.490636704119851
1992-07-31,1.931,0.26,1.97,13.17,3.846153846153846,0.5076142131979695,7.593014426727411
1992-08-31,1.931,0.34,2.06,13.58,2.941176470588235,0.4854368932038835,7.363770250368188
1992-09-30,1.931,0.58,2.29,14.28,1.7241379310344829,0.4366812227074236,7.002801120448179
1992-10-31,1.951,0.6,2.19,16.15,1.6666666666666667,0.4566210045662101,6.191950464396285
1992-11-30,1.951,0.73,2.0,13.01,1.36986301369863,0.5,7.686395080707149
1992-12-31,1.951,0.36,2.06,12.57,2.7777777777777777,0.4854368932038835,7.955449482895784
1993-01-31,1.971,0.35,2.11,12.42,2.857142857142857,0.47393364928909953,8.051529790660226
1993-02-28,1.971,0.26,2.2,13.16,3.846153846153846,0.45454545454545453,7.598784194528875
1993-03-31,1.971,0.36,2.18,12.53,2.7777777777777777,0.4587155963302752,7.980845969672786
1993-04-30,1.985,0.28,2.12,12.42,3.571428571428571,0.4716981132075471,8.051529790660226
1993-05-31,1.985,0.31,2.1,13.47,3.2258064516129035,0.47619047619047616,7.423904974016332
1993-06-30,1.985,0.28,2.16,11.26,3.571428571428571,0.4629629629629629,8.880994671403197
1993-07-31,1.997,0.28,2.05,11.73,3.571428571428571,0.48780487804878053,8.525149190110827
1993-08-31,1.997,0.24,1.91,11.85,4.166666666666667,0.5235602094240838,8.438818565400844
1993-09-30,1.997,0.46,2.0,12.99,2.1739130434782608,0.5,7.698229407236336
1993-10-31,2.023,0.41,1.96,11.46,2.4390243902439024,0.5102040816326531,8.726003490401396
1993-11-30,2.023,0.36,1.91,13.76,2.7777777777777777,0.5235602094240838,7.267441860465117
1993-12-31,2.023,0.37,1.94,11.66,2.7027027027027026,0.5154639175257733,8.576329331046312
1994-01-31,2.047,0.29,1.85,10.63,3.4482758620689657,0.5405405405405405,9.40733772342427
1994-02-28,2.047,0.39,1.77,14.87,2.564102564102564,0.5649717514124294,6.724949562878279
1994-03-31,2.047,0.46,1.59,20.45,2.1739130434782608,0.6289308176100629,4.88997555012225
1994-04-30,2.08,0.44,1.48,13.77,2.272727272727273,0.6756756756756757,7.262164124909223
1994-05-31,2.08,0.46,1.51,13.03,2.1739130434782608,0.6622516556291391,7.674597083653109
1994-06-30,2.08,0.72,1.52,14.97,1.3888888888888888,0.6578947368421053,6.68002672010688
1994-07-31,2.103,0.61,1.49,11.13,1.639344262295082,0.6711409395973155,8.98472596585804
1994-08-31,2.103,0.44,1.55,11.97,2.272727272727273,0.6451612903225806,8.35421888053467
1994-09-30,2.103,0.83,1.5,14.28,1.2048192771084338,0.6666666666666666,7.002801120448179
1994-10-31,2.139,0.59,1.4,14.56,1.6949152542372883,0.7142857142857143,6.868131868131868
1994-11-30,2.139,0.63,1.3,15.95,1.5873015873015872,0.7692307692307692,6.269592476489028
1994-12-31,2.139,0.97,1.3,13.2,1.0309278350515465,0.7692307692307692,7.575757575757576
1995-01-31,2.155,0.48,1.33,11.96,2.0833333333333335,0.7518796992481203,8.361204013377925
1995-02-28,2.155,0.49,1.53,11.75,2.0408163265306123,0.6535947712418301,8.51063829787234
1995-03-31,2.155,0.55,1.49,13.37,1.8181818181818181,0.6711409395973155,7.479431563201197
1995-04-30,2.151,0.5,1.51,11.75,2.0,0.6622516556291391,8.51063829787234
1995-05-31,2.151,0.43,1.66,12.85,2.3255813953488373,0.6024096385542169,7.782101167315175
1995-06-30,2.151,0.62,1.74,11.38,1.6129032258064517,0.5747126436781609,8.787346221441124
1995-07-31,2.142,0.46,1.72,13.49,2.1739130434782608,0.5813953488372093,7.4128984432913265
1995-08-31,2.142,0.59,1.73,11.52,1.6949152542372883,0.5780346820809249,8.680555555555555
1995-09-30,2.142,0.71,1.71,12.74,1.4084507042253522,0.5847953216374269,7.849293563579278
1995-10-31,2.147,0.62,1.7,13.83,1.6129032258064517,0.5882352941176471,7.230657989877079
1995-11-30,2.147,0.55,1.81,11.58,1.8181818181818181,0.5524861878453039,8.635578583765112
1995-12-31,2.147,0.66,1.8,12.52,1.5151515151515151,0.5555555555555556,7.987220447284345
1996-01-31,2.147,0.46,1.82,12.53,2.1739130434782608,0.5494505494505494,7.980845969672786
1996-02-29,2.147,0.41,1.78,17.04,2.4390243902439024,0.5617977528089888,5.868544600938967
1996-03-31,2.147,0.47,1.78,18.88,2.127659574468085,0.5617977528089888,5.296610169491526
1996-04-30,2.165,0.47,1.61,15.83,2.127659574468085,0.6211180124223602,6.317119393556538
1996-05-31,2.165,0.46,1.48,16.07,2.1739130434782608,0.6756756756756757,6.222775357809583
1996-06-30,2.165,0.54,1.51,13.68,1.8518518518518516,0.6622516556291391,7.309941520467836
1996-07-31,2.171,0.5,1.5,19.46,2.0,0.6666666666666666,5.138746145940391
1996-08-31,2.171,0.41,1.48,17.01,2.4390243902439024,0.6756756756756757,5.878894767783656
1996-09-30,2.171,0.71,1.5,16.95,1.4084507042253522,0.6666666666666666,5.899705014749263
1996-10-31,2.176,0.47,1.54,18.11,2.127659574468085,0.6493506493506493,5.521811154058532
1996-11-30,2.176,0.5,1.65,17.14,2.0,0.6060606060606061,5.834305717619603
1996-12-31,2.176,0.49,1.54,20.92,2.0408163265306123,0.6493506493506493,4.780114722753345
1997-01-31,2.174,0.54,1.5,19.47,1.8518518518518516,0.6666666666666666,5.136106831022086
1997-02-28,2.174,0.45,1.49,21.1,2.2222222222222223,0.6711409395973155,4.739336492890995
1997-03-31,2.174,0.54,1.4,22.14,1.8518518518518516,0.7142857142857143,4.5167118337850045
1997-04-30,2.19,0.68,1.5,20.06,1.4705882352941175,0.6666666666666666,4.985044865403789
1997-05-31,2.19,0.99,1.51,19.19,1.0101010101010102,0.6622516556291391,5.211047420531527
1997-06-30,2.19,0.84,1.5,21.53,1.1904761904761905,0.6666666666666666,4.644681839294008
1997-07-31,2.192,0.6,1.54,21.48,1.6666666666666667,0.6493506493506493,4.655493482309125
1997-08-31,2.192,0.62,1.44,24.76,1.6129032258064517,0.6944444444444444,4.038772213247173
1997-09-30,2.192,0.84,1.54,22.91,1.1904761904761905,0.6493506493506493,4.364906154517678
1997-10-31,2.184,0.68,1.6,35.09,1.4705882352941175,0.625,2.849814762040467
1997-11-30,2.184,0.82,1.52,27.43,1.2195121951219512,0.6578947368421053,3.645643456069996
1997-12-31,2.184,0.59,1.53,24.01,1.6949152542372883,0.6535947712418301,4.164931278633902
1998-01-31,2.17,0.57,1.68,21.47,1.7543859649122808,0.5952380952380952,4.657661853749418
1998-02-28,2.17,0.5,1.67,18.55,2.0,0.5988023952095809,5.390835579514825
1998-03-31,2.17,0.69,1.67,24.22,1.4492753623188408,0.5988023952095809,4.128819157720892
1998-04-30,2.155,0.85,1.66,21.18,1.1764705882352942,0.6024096385542169,4.721435316336167
1998-05-31,2.155,0.8,1.63,21.32,1.25,0.6134969325153374,4.690431519699812
1998-06-30,2.155,0.75,1.67,19.71,1.3333333333333333,0.5988023952095809,5.073566717402334
1998-07-31,2.155,0.72,1.71,24.8,1.3888888888888888,0.5847953216374269,4.032258064516129
1998-08-31,2.155,0.84,2.06,44.28,1.1904761904761905,0.4854368932038835,2.2583559168925023
1998-09-30,2.155,1.05,2.57,40.95,0.9523809523809523,0.38910505836575876,2.4420024420024418
1998-10-31,2.14,0.99,2.65,28.05,1.0101010101010102,0.37735849056603776,3.5650623885918002
1998-11-30,2.14,0.86,2.45,26.01,1.1627906976744187,0.4081632653061224,3.8446751249519413
1998-12-31,2.14,0.7,2.58,24.42,1.4285714285714286,0.38759689922480617,4.095004095004095
1999-01-31,2.129,0.6,2.55,26.25,1.6666666666666667,0.3921568627450981,3.8095238095238093
1999-02-28,2.129,0.48,2.24,27.88,2.0833333333333335,0.4464285714285714,3.586800573888092
1999-03-31,2.129,0.63,2.31,23.26,1.5873015873015872,0.4329004329004329,4.299226139294927
1999-04-30,2.124,0.56,2.22,25.07,1.7857142857142856,0.4504504504504504,3.9888312724371757
1999-05-31,2.124,0.54,2.18,25.39,1.8518518518518516,0.4587155963302752,3.9385584875935407
